platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,experiment_group,final_growth_probability,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,gromong_score,grade,historical_internal_growth_alpha,historical_review_growth_3m,reply_rate,avg_reply_delay_hours,order_count,sales_amount,review_count,is_seoul_external,market_q4_avg_ticket,store_vs_market_ticket_ratio,brand_percentile_score,category_percentile_score,calibrated_score,calibrated_grade,overall_rank,calibrated_rank,brand_rank,category_rank,rank_change,recommendation_track,recommendation_reason
ba_14739746,2025-09,굽네피자 감정점,굽네치킨,피자,경기도,김포시,실험군,0.7578347140008754,75.78347140008755,51.50360651954223,100.0,92.52657363471215,92.26172365172613,50.0,77.51,B,0.442732,3.0,1.0,277.84,77,2219900.0,4,0,,,97.9592,99.2424,88.0554,A,121,65,10,2,56,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_10841883,2025-09,굽네치킨 선부3동점,굽네치킨,치킨,경기도,안산시,실험군,0.9795067283997516,97.95067283997516,52.24435928970252,100.0,97.01980150598185,0.0,50.0,76.9,B,0.476144,4.114583,1.0,127.74,1640,42143300.0,233,0,,,97.7324,97.4026,87.2338,A,129,73,11,9,56,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_13973813,2025-09,굽네피자 선부3동점,굽네치킨,피자,경기도,안산시,실험군,0.7765005678022825,77.65005678022825,59.94398018377707,66.16542105263159,97.01411387576505,85.12929582999439,50.0,75.15,B,0.823439,1.714286,1.0,127.93,66,1723900.0,14,0,,,97.5057,98.4848,86.5726,A,153,79,12,3,74,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_13539851,2025-09,굽네치킨 소답점,굽네치킨,치킨,경상남도,창원시,실험군,0.6360729890799302,63.60729890799301,66.50604497115566,100.0,85.50384590370885,76.7683948962206,50.0,74.39,B,1.119424,3.5,0.8571,202.15,144,3869600.0,7,0,,,97.2789,97.0779,85.7842,A,164,86,13,10,78,category_balanced,치킨 카테고리 내부 보정 점수 상위 후보
ba_13472981,2025-09,굽네피자,굽네치킨,피자,경상북도,상주시,실험군,0.6723490590054128,67.23490590054128,44.14997472313086,100.0,94.11372181415732,95.72210094906141,50.0,73.26,B,0.111043,3.0,1.0,224.82,17,522100.0,2,0,,,97.0522,97.7273,85.3249,A,184,91,14,4,93,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_13973745,2025-09,굽네피자 가산점,굽네치킨,피자,서울특별시,금천구,실험군,0.928193984522928,92.8193984522928,40.271664405207645,34.21052631578947,81.89429731680698,98.48256296592429,100.0,72.84,B,-0.06389,0.5,1.0,633.02,4,122700.0,1,1,17078.26,1.7961,96.8254,96.9697,84.8688,A,195,96,15,5,99,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_14392310,2025-09,굽네피자 등촌2동점,굽네치킨,피자,서울특별시,강서구,실험군,0.9058733378302776,90.58733378302776,40.745797613116416,35.672526315789476,93.23782676077057,93.27607673978574,89.25786163522014,72.43,B,-0.042504,0.555556,1.0,254.08,41,1055100.0,6,1,15989.55,1.6094,96.3719,96.2121,84.3610,A,204,102,17,6,102,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_13984579,2025-09,굽네피자 암사3동점,굽네치킨,피자,서울특별시,강동구,실험군,0.9096149239409947,90.96149239409948,38.054638276390776,50.0,97.20090762604302,83.55354701293683,64.25157232704403,71.03,B,-0.16389,,1.0,121.69,156,3400000.0,5,1,16622.66,1.3112,96.1451,95.4545,83.4149,A,219,113,18,7,106,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_12015187,2025-09,굽네피자 길음1동점,굽네치킨,피자,서울특별시,성북구,실험군,0.8345587848727491,83.45587848727492,38.054638276390776,50.0,50.0,99.03247179889406,100.0,67.26,B,-0.16389,,,,1,35700.0,0,1,16066.88,2.222,93.4240,94.6970,80.6603,A,271,152,30,8,119,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_14332093,2025-09,굽네피자 금당왕지점,굽네치킨,피자,전라남도,순천시,실험군,0.7001036872391332,70.01036872391332,53.31059366583442,47.36842105263158,85.80768625492215,89.75262396065862,50.0,66.78,B,0.524237,1.0,1.0,502.29,56,1807800.0,2,0,,,92.2902,93.9394,79.9474,B,286,162,35,9,124,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
ba_13977167,2025-09,굽네피자 연신내점,굽네치킨,피자,서울특별시,은평구,통제군,0.5035700204331223,50.35700204331223,80.3907253594035,50.0,50.0,98.96144352709734,100.0,66.36,B,1.745699,,,,2,79000.0,0,1,14889.29,2.6529,91.8367,93.1818,79.4346,B,295,171,37,10,124,category_balanced,피자 카테고리 내부 보정 점수 상위 후보
