model,train_rows,test_rows,features,train_positive_rate,test_positive_rate,auc,pr_auc,brier_score,threshold_train_rate,precision,recall,f1,accuracy,precision_05,recall_05,f1_05,top100_precision
baseline,8722,2492,45,0.2930520522815868,0.32463884430176565,0.6060172729990224,0.3885611216263487,0.32547196905206405,0.29881413394608247,0.3698193411264612,0.8603213844252163,0.5172798216276477,0.4787319422150883,0.3890469416785206,0.6761433868974042,0.4939051918735891,0.4
growth_alpha,8722,2492,52,0.2930520522815868,0.32463884430176565,0.6077682224704692,0.39116515397769086,0.3245015173787411,0.2984072572862922,0.36942675159235666,0.8603213844252163,0.5168956554028963,0.47792937399678975,0.3900355871886121,0.6773794808405439,0.49503161698283643,0.42
growth_alpha_nlp,8722,2492,77,0.2930520522815868,0.32463884430176565,0.6153669318796927,0.39236865619144595,0.32169501338790674,0.3215959302869516,0.38795599305153444,0.8281829419035847,0.5283911671924291,0.5200642054574639,0.39325842696629215,0.69221260815822,0.5015673981191222,0.4
growth_alpha_nlp_without_text_count,8722,2492,76,0.2930520522815868,0.32463884430176565,0.6132509564488042,0.3917491322069289,0.3217821834181851,0.318266692829901,0.3831722569641842,0.8331273176761433,0.5249221183800623,0.5104333868378812,0.39464411557434814,0.69221260815822,0.502692998204668,0.41
growth_alpha_nlp_no_reply_related,8722,2492,67,0.2930520522815868,0.32463884430176565,0.6028098919831633,0.3915589651046587,0.31457274954106695,0.3317118327997254,0.3570229434806939,0.788627935723115,0.4915254237288135,0.47030497592295345,0.3857832988267771,0.6909765142150803,0.4951284322409212,0.42
growth_alpha_nlp_no_treatment_proxy,8722,2492,70,0.2930520522815868,0.32463884430176565,0.6316241745602612,0.3973813331533452,0.2959220328859833,0.3114867807480155,0.4065864471184294,0.7935723114956736,0.5376884422110553,0.5569823434991974,0.40408460977388766,0.6847960444993819,0.5082568807339448,0.42
