predicted_priority_rank,platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,predictive_rank_score,decision_band,explanation_index,signal_decomposition_index,action_band,risk_flag,top_positive_signal,top_negative_signal,model_probability_raw,probability_band,probability_score,growth_alpha_score,review_growth_score,operation_score,stability_score,market_fit_score,ranking_basis,score_role
18,ba_14692118,2025-09,본죽&비빔밥 여수소호점,본그룹,백반·죽·국수,전라남도,여수시,0.4698795180722891,Priority Review,84.37,84.37,Immediate Review,none,review_growth,market_fit,0.4698795180722891,2,89.77437426196367,59.62940634635924,100.0,97.80140163735328,83.74820731372408,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
19,ba_14688602,2025-09,본죽&비빔밥 남양주덕소점,본그룹,백반·죽·국수,경기도,남양주시,0.4698795180722891,Priority Review,84.26,84.26,Immediate Review,none,operation,market_fit,0.4698795180722891,2,91.18931987567024,83.8137250212516,56.65634210526317,96.63453939603352,84.01652653813363,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
20,ba_14688687,2025-09,본죽&비빔밥 신길점,본그룹,백반·죽·국수,서울특별시,영등포구,0.4698795180722891,Priority Review,83.92,83.92,Immediate Review,stability_risk,operation,stability,0.4698795180722891,2,94.3446990095728,95.435176456158,81.25000000000001,97.86516296557316,30.369324240993624,58.14220553764413,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
21,ba_14689382,2025-09,본죽&비빔밥 수원권선시장점,본그룹,백반·죽·국수,경기도,수원시,0.4698795180722891,Priority Review,83.79,83.79,Immediate Review,none,operation,review_growth,0.4698795180722891,2,94.30651593102004,92.47303001570708,40.789473684210535,95.64908262373376,71.94689537308648,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
22,ba_14727030,2025-09,본죽&비빔밥 부산명장역점,본그룹,백반·죽·국수,부산광역시,동래구,0.4698795180722891,Priority Review,82.94,82.94,Immediate Review,none,growth_alpha,review_growth,0.4698795180722891,2,90.72929272831963,100.0,31.46928947368421,94.25561322061849,73.24053614913053,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
23,ba_14703930,2025-09,본죽 중화역점,본그룹,백반·죽·국수,서울특별시,중랑구,0.4698795180722891,Priority Review,82.37,82.37,Immediate Review,none,operation,review_growth,0.4698795180722891,2,90.06745735881287,93.33527581772655,48.75347368421053,97.29819603764612,77.06131076816465,63.4275987891436,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
24,ba_13222170,2025-09,본죽&비빔밥 전북김제점,본그룹,백반·죽·국수,전북특별자치도,김제시,0.4698795180722891,Priority Review,82.34,82.34,Immediate Review,none,operation,market_fit,0.4698795180722891,2,92.09311662636505,62.1166436197563,78.26086842105265,97.1009250738109,82.73176870895009,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
25,ba_14688094,2025-09,본죽 군포지샘병원점,본그룹,백반·죽·국수,경기도,군포시,0.4698795180722891,Priority Review,81.84,81.84,Immediate Review,none,operation,review_growth,0.4698795180722891,2,89.77820083419577,81.66416299753462,40.789473684210535,99.43015932206868,89.68279493828717,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
26,ba_14694148,2025-09,본죽 통영점,본그룹,백반·죽·국수,경상남도,통영시,0.4698795180722891,Priority Review,81.8,81.8,Immediate Review,none,operation,market_fit,0.4698795180722891,2,93.57532771446986,73.75940067576066,51.7543947368421,98.2881430443276,80.99744487256629,50.0,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
27,ba_14687119,2025-09,본죽 성균관대점,본그룹,백반·죽·국수,서울특별시,종로구,0.4698795180722891,Priority Review,81.52,81.52,Immediate Review,none,operation,review_growth,0.4698795180722891,2,91.75815986857164,90.18796335499682,45.234710526315794,99.519065962826,75.38920372767348,59.99391177685112,calibrated_model_probability,composite_is_explanation_index_not_predictive_rank
