component,component_label,roc_auc,pr_auc,spearman_correlation,pearson_correlation,growth_mean_score,non_growth_mean_score,growth_minus_non_growth,band1_actual_growth_rate,band1_score_mean,band2_actual_growth_rate,band2_score_mean,band3_actual_growth_rate,band3_score_mean,band4_actual_growth_rate,band4_score_mean,band5_actual_growth_rate,band5_score_mean,top100_hit_count,top100_lift
probability_score,모델 성장확률 점수,0.5066365990144491,0.25207727083209996,0.010094615924767365,0.029949656938223802,60.76426095449039,58.68978474739066,2.0744762070997282,0.224,94.23687628040977,0.27309236947791166,83.57681611837286,0.3413654618473896,67.74037749665675,0.2248995983935743,35.944095164366225,0.24096385542168675,14.515648941301858,22,0.8434461538461538
growth_alpha_score,Growth Alpha 점수,0.2728071494195273,0.1809049861057716,-0.3461092829013972,-0.3280672676034993,21.86990595558493,42.819694870035526,-20.949788914450597,0.096,81.2666434285378,0.13253012048192772,45.813723995988305,0.17269076305220885,36.9901751171577,0.39357429718875503,21.54655327391818,0.5100401606425703,0.9828711219051937,13,0.4984
review_growth_score,리뷰 성장 점수,0.42259417021632006,0.22565995980256398,-0.11144243504271413,-0.09744304196067556,34.664591255060735,39.82602557288988,-5.161434317829148,0.184,70.1617545263158,0.20080321285140562,50.0,0.26104417670682734,39.41230109913338,0.3614457831325301,24.013346755442825,0.2971887550200803,8.684083386176285,24,0.9201230769230769
operation_score,운영 대응 점수,0.49768646120437654,0.2787663312833408,-0.004692762063525736,-0.024400117468445164,63.58097496813217,65.20271242500642,-1.621737456874257,0.276,98.34897808776569,0.26506024096385544,93.35092156188945,0.2931726907630522,60.18311362658581,0.10040160642570281,50.0,0.36947791164658633,21.880705719687175,31,1.1884923076923077
stability_score,안정성 점수,0.4055892424622066,0.2089276360970566,-0.14414522203848645,-0.10972074423357041,75.14614394403725,81.40063246129895,-6.254488517261706,0.06,99.89147220676959,0.3815261044176707,96.44841275712571,0.285140562248996,90.40975128017689,0.23694779116465864,75.99526457922704,0.3413654618473896,36.02051205405692,0,0.0
gromong_score,현재 composite score,0.40564269606614883,0.211191229937729,-0.1434995944737461,-0.15385467297767647,49.09144615384615,55.208816503800215,-6.117370349954065,0.116,78.91208,0.27309236947791166,63.783734939759036,0.3614457831325301,53.51983935742972,0.20080321285140562,41.18096385542169,0.3534136546184739,30.567751004016063,12,0.46006153846153847
