scenario,w_probability_score,w_growth_alpha_score,w_review_growth_score,w_operation_score,w_stability_score,roc_auc,pr_auc,brier_score,score_mean,score_std,rank_correlation_with_current,top100_overlap_with_current,grade_S,grade_A,grade_B,grade_C,grade_D,top20_hit_count,top20_lift,top50_hit_count,top50_lift,top100_hit_count,top100_lift
current,0.35,0.25,0.15,0.15,0.1,0.4056660820178736,0.21119778237226408,0.32265566523922984,53.6130179449801,17.465457324742292,1.0,1.0,9,89,241,355,552,1,0.1916923076923077,7,0.5367384615384616,12,0.46006153846153847
probability-heavy,0.5,0.2,0.1,0.1,0.1,0.43017121857512736,0.21681685336707124,0.3324652526441675,55.43561019575299,19.095697774051843,0.9839135489973039,0.89,9,133,322,271,511,0,0.0,7,0.5367384615384616,12,0.46006153846153847
growth-heavy,0.25,0.4,0.15,0.1,0.1,0.35258665330326566,0.1964206704131055,0.317416474258104,50.1036941636327,17.5619915425966,0.9658823365314487,0.92,12,72,181,304,677,1,0.1916923076923077,7,0.5367384615384616,13,0.4984
review-heavy,0.3,0.2,0.3,0.1,0.1,0.40698905871544305,0.21331648076636248,0.30484837123355296,51.361172594841165,15.989983562353864,0.9770190783313517,0.77,13,50,186,381,616,1,0.1916923076923077,6,0.46006153846153847,18,0.6900923076923077
operation-heavy,0.3,0.2,0.15,0.25,0.1,0.41691138394721455,0.21669397236148807,0.3288194664375616,55.24003221780946,17.4403604692785,0.9874357458057483,0.93,11,108,284,293,550,2,0.3833846153846154,10,0.7667692307692308,12,0.46006153846153847
balanced,0.3,0.25,0.2,0.15,0.1,0.39876054455859017,0.20976970773324768,0.31607778944014975,52.594408544752135,16.74711722939623,0.9955587496963103,0.92,9,64,215,377,581,1,0.1916923076923077,5,0.3833846153846154,13,0.4984
