platform_shop_id,year_month,shop_name,brand,category,sido,sigungu,growth_label_top30,composite_growth_score,historical_internal_growth_alpha,model,growth_probability,predicted_label
ba_14687340,2025-08,본죽&비빔밥 방학역점,본그룹,백반·죽·국수,서울특별시,도봉구,1,0.21413,-0.128179,seoul_external,0.9296755549199425,1
ba_14687326,2025-09,본죽&비빔밥 개봉점,본그룹,백반·죽·국수,서울특별시,구로구,0,-0.01843,1.300503,seoul_external,0.9290410772545469,1
ba_14736683,2025-08,본죽&비빔밥 신림녹두거리점,본그룹,백반·죽·국수,서울특별시,관악구,1,0.227384,0.397247,seoul_external,0.9283937182844839,1
ba_13973745,2025-09,굽네피자 가산점,굽네치킨,피자,서울특별시,금천구,0,-0.024006,-0.06389,seoul_external,0.9281939845229279,1
ba_14690081,2025-09,본죽 신곡시장점,본그룹,백반·죽·국수,서울특별시,양천구,0,-0.118492,2.209841,seoul_external,0.9270827646598553,1
ba_13235557,2025-09,본죽 도봉동점,본그룹,백반·죽·국수,서울특별시,도봉구,0,-0.654038,2.013591,seoul_external,0.926272824351325,1
ba_14688860,2025-09,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,서울특별시,은평구,0,-0.377788,3.844739,seoul_external,0.9251015523156811,1
ba_14687296,2025-09,본죽&비빔밥 봉일시장점,본그룹,백반·죽·국수,서울특별시,관악구,1,1.117819,-1.786471,seoul_external,0.9238097417969667,1
ba_14687333,2025-09,본죽&비빔밥 석계역점,본그룹,백반·죽·국수,서울특별시,노원구,0,-0.12447,1.486441,seoul_external,0.9207513813086952,1
ba_10798649,2025-08,굽네치킨 암사3동점,굽네치킨,치킨,서울특별시,강동구,0,-0.496299,-0.191936,seoul_external,0.9205334841969686,1
ba_14703930,2025-08,본죽 중화역점,본그룹,백반·죽·국수,서울특별시,중랑구,1,0.291137,0.127484,seoul_external,0.9185842416507869,1
