model,top_n,hits,precision_at_n,recall_at_n,lift_at_n
seoul_internal,20,6,0.3,0.04918032786885246,1.0377049180327869
seoul_internal,50,18,0.36,0.14754098360655737,1.2452459016393442
seoul_internal,100,34,0.34,0.2786885245901639,1.176065573770492
seoul_internal,200,65,0.325,0.5327868852459017,1.1241803278688525
seoul_external,20,7,0.35,0.05737704918032787,1.210655737704918
seoul_external,50,18,0.36,0.14754098360655737,1.2452459016393442
seoul_external,100,37,0.37,0.30327868852459017,1.2798360655737706
seoul_external,200,66,0.33,0.5409836065573771,1.1414754098360658
