model,feature,coefficient,abs_coefficient
seoul_internal,experiment_group=통제군,-0.7902907877797442,0.7902907877797442
seoul_internal,quantity_sum,0.7279795529036336,0.7279795529036336
seoul_internal,category=치킨,-0.5413140255881311,0.5413140255881311
seoul_internal,experiment_group=실험군,0.4970794931421804,0.4970794931421804
seoul_internal,review_count,0.44873976350174033,0.44873976350174033
seoul_internal,sales_amount,-0.4169802167796938,0.4169802167796938
seoul_internal,brand=굽네치킨,-0.4112630741083161,0.4112630741083161
seoul_internal,reply_count,-0.32097130637452287,0.32097130637452287
seoul_internal,persona_tone_enabled=False,-0.3159800348152387,0.3159800348152387
seoul_internal,reply_rate,0.31133638368214817,0.31133638368214817
seoul_internal,is_post_treatment,0.3108935472793142,0.3108935472793142
seoul_internal,intercept,-0.29342164099528983,0.29342164099528983
seoul_internal,sido=서울특별시,-0.2932112946375639,0.2932112946375639
seoul_internal,avg_reply_delay_hours,-0.20672893640381412,0.20672893640381412
seoul_internal,promo_phrase_enabled=False,-0.17525556181269056,0.17525556181269056
seoul_internal,hidden_menu_count,0.13701764749273748,0.13701764749273748
seoul_internal,store_avg_ticket,0.13386058502098164,0.13386058502098164
seoul_internal,category=피자,0.1300509514798135,0.1300509514798135
seoul_internal,active_menu_count,-0.12995377615283527,0.12995377615283527
seoul_internal,brand=본그룹,0.11805177947075292,0.11805177947075292
seoul_internal,category=백반·죽·국수,0.11805177947075292,0.11805177947075292
seoul_internal,promo_phrase_enabled=True,-0.11795573282487322,0.11795573282487322
seoul_internal,historical_category_adjusted_growth,0.09945688418420655,0.09945688418420655
seoul_internal,sold_out_menu_count,-0.09629998741004082,0.09629998741004082
seoul_internal,avg_rating,-0.08760058435152449,0.08760058435152449
seoul_internal,historical_review_growth_3m,0.07579109727468424,0.07579109727468424
seoul_internal,avg_delivery_menu_price,0.07031305428010284,0.07031305428010284
seoul_internal,avg_pickup_menu_price,0.07020328329540605,0.07020328329540605
seoul_internal,historical_composite_growth,-0.054878857671122515,0.054878857671122515
seoul_internal,menu_count,0.05333014212780579,0.05333014212780579
seoul_internal,historical_brand_adjusted_growth,-0.052701972096484744,0.052701972096484744
seoul_internal,historical_internal_growth_alpha,0.03030795020362236,0.03030795020362236
seoul_internal,historical_order_growth_3m,-0.023201295413674005,0.023201295413674005
seoul_internal,persona_tone_enabled=True,0.022768740177674662,0.022768740177674662
seoul_internal,order_count,-0.002398360642942098,0.002398360642942098
seoul_internal,historical_sales_growth_3m,0.001408900598328306,0.001408900598328306
seoul_external,experiment_group=통제군,-0.767773991125385,0.767773991125385
seoul_external,quantity_sum,0.7195819559253442,0.7195819559253442
seoul_external,category=치킨,-0.6083861012132388,0.6083861012132388
seoul_external,store_vs_market_ticket_ratio,0.5421916446842105,0.5421916446842105
seoul_external,experiment_group=실험군,0.47888946936077476,0.47888946936077476
seoul_external,review_count,0.4632943934708615,0.4632943934708615
seoul_external,sales_amount,-0.38650594706796004,0.38650594706796004
seoul_external,brand=굽네치킨,-0.3671826928850925,0.3671826928850925
seoul_external,reply_count,-0.3521569484363419,0.3521569484363419
seoul_external,reply_rate,0.31339121349983184,0.31339121349983184
seoul_external,store_avg_ticket,-0.31174325237391487,0.31174325237391487
seoul_external,market_q4_avg_ticket,0.3096263981503055,0.3096263981503055
seoul_external,is_post_treatment,0.30188984831472765,0.30188984831472765
seoul_external,intercept,-0.2890898145518576,0.2890898145518576
seoul_external,sido=서울특별시,-0.288884521764609,0.288884521764609
seoul_external,persona_tone_enabled=False,-0.27228021992246104,0.27228021992246104
seoul_external,category=피자,0.24120340832814585,0.24120340832814585
seoul_external,promo_phrase_enabled=False,-0.20315588108269028,0.20315588108269028
seoul_external,avg_reply_delay_hours,-0.18939580767338485,0.18939580767338485
seoul_external,market_q4_sales_count,-0.12033973755152128,0.12033973755152128
seoul_external,sold_out_menu_count,-0.10599149065749104,0.10599149065749104
seoul_external,historical_review_growth_3m,0.09956613659479364,0.09956613659479364
seoul_external,hidden_menu_count,0.09764976474036292,0.09764976474036292
seoul_external,market_q4_sales_amount,0.09609582685718684,0.09609582685718684
seoul_external,historical_composite_growth,-0.09413645048063303,0.09413645048063303
seoul_external,active_menu_count,-0.09209493403366838,0.09209493403366838
seoul_external,promo_phrase_enabled=True,-0.0857286406819193,0.0857286406819193
seoul_external,brand=본그룹,0.07829817112048387,0.07829817112048387
seoul_external,category=백반·죽·국수,0.07829817112048387,0.07829817112048387
seoul_external,avg_rating,-0.07566654220595753,0.07566654220595753
seoul_external,avg_delivery_menu_price,0.06867030448437492,0.06867030448437492
seoul_external,avg_pickup_menu_price,0.06824370040534022,0.06824370040534022
seoul_external,historical_category_adjusted_growth,0.05471781014225949,0.05471781014225949
seoul_external,menu_count,0.03354134677255897,0.03354134677255897
seoul_external,historical_internal_growth_alpha,0.0319523942747245,0.0319523942747245
seoul_external,order_count,-0.021490484015209626,0.021490484015209626
seoul_external,historical_order_growth_3m,-0.019991949498316324,0.019991949498316324
seoul_external,persona_tone_enabled=True,-0.01660430184214838,0.01660430184214838
seoul_external,historical_sales_growth_3m,0.015663564055367785,0.015663564055367785
seoul_external,historical_brand_adjusted_growth,0.0003726931392205435,0.0003726931392205435
