platform_shop_id,year_month,avg_text_sentiment,text_review_count,positive_text_rate,negative_text_rate,taste_rate,portion_rate,delivery_rate,price_rate,service_rate,reorder_rate,review_length,token_count,exclamation_count,question_count,positive_hit_count,negative_hit_count,sentiment_abs,mixed_sentiment_flag,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_10015935,2025-07,0.6166666666666667,12,0.8333333333333334,0.08333333333333333,0.8333333333333334,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,17.083333333333332,3.3333333333333335,0.08333333333333333,0.0,2.4166666666666665,0.16666666666666666,0.65,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,치킨,굽네치킨
ba_10015935,2025-08,0.7714285714285714,7,0.8571428571428571,0.0,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,40.285714285714285,9.142857142857142,0.0,0.0,3.0,0.2857142857142857,0.7714285714285715,0.2857142857142857,0.42857142857142855,97.28571428571429,23.142857142857142,0.0,0.0,0.061224489795918366,0.07142857142857142,1,치킨,굽네치킨
ba_10015935,2025-09,0.6285714285714287,7,0.8571428571428571,0.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,19.285714285714285,4.857142857142857,0.42857142857142855,0.14285714285714285,2.4285714285714284,0.0,0.6285714285714287,0.0,0.2857142857142857,64.85714285714286,15.428571428571429,0.0,0.0,0.04081632653061224,0.047619047619047616,1,치킨,굽네치킨
ba_10016162,2025-07,0.6705882352941177,34,0.8529411764705882,0.08823529411764706,0.7352941176470589,0.058823529411764705,0.08823529411764706,0.0,0.08823529411764706,0.14705882352941177,26.41176470588235,6.176470588235294,0.5882352941176471,0.029411764705882353,3.0294117647058822,0.23529411764705882,0.7176470588235294,0.14705882352941177,0.029411764705882353,6.9411764705882355,1.4705882352941178,0.029411764705882353,0.029411764705882353,0.008403361344537815,0.004901960784313725,1,치킨,굽네치킨
ba_10016162,2025-08,0.7266666666666668,30,0.8666666666666667,0.0,0.8,0.03333333333333333,0.16666666666666666,0.0,0.03333333333333333,0.06666666666666667,25.766666666666666,5.533333333333333,0.5,0.0,3.466666666666667,0.2,0.7266666666666667,0.16666666666666666,0.4,90.66666666666667,21.4,0.03333333333333333,0.03333333333333333,0.0619047619047619,0.06666666666666667,0,치킨,굽네치킨
ba_10016162,2025-09,0.8064516129032258,31,0.9354838709677419,0.03225806451612903,0.8709677419354839,0.03225806451612903,0.0967741935483871,0.0,0.06451612903225806,0.06451612903225806,20.29032258064516,4.354838709677419,0.45161290322580644,0.0,3.4193548387096775,0.03225806451612903,0.8193548387096774,0.03225806451612903,0.7096774193548387,161.09677419354838,38.32258064516129,0.0,0.0,0.10138248847926266,0.11827956989247311,0,치킨,굽네치킨
ba_10019194,2025-07,0.64,5,1.0,0.0,0.8,0.2,0.2,0.0,0.2,0.0,26.2,5.6,1.2,0.0,2.2,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10019194,2025-08,0.7999999999999999,3,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,16.333333333333332,3.0,0.3333333333333333,0.0,3.3333333333333335,0.0,0.7999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10019194,2025-09,1.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,227.0,54.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0,치킨,굽네치킨
ba_10019807,2025-07,0.6571428571428571,14,0.8571428571428571,0.07142857142857142,0.7857142857142857,0.14285714285714285,0.21428571428571427,0.0,0.07142857142857142,0.0,61.785714285714285,12.5,0.07142857142857142,0.14285714285714285,2.7142857142857144,0.42857142857142855,0.7428571428571429,0.21428571428571427,0.14285714285714285,33.857142857142854,7.5,0.14285714285714285,0.14285714285714285,0.061224489795918366,0.047619047619047616,0,치킨,굽네치킨
ba_10019807,2025-08,0.65,12,0.75,0.0,0.5833333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,22.166666666666668,4.333333333333333,0.0,0.0,2.6666666666666665,0.0,0.65,0.0,0.08333333333333333,23.083333333333332,5.166666666666667,0.08333333333333333,0.08333333333333333,0.03571428571428571,0.027777777777777776,0,치킨,굽네치킨
ba_10019807,2025-09,0.43636363636363645,11,0.7272727272727273,0.09090909090909091,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,40.72727272727273,8.454545454545455,0.09090909090909091,0.0,2.0,0.18181818181818182,0.4727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10020109,2025-07,0.631578947368421,19,0.8421052631578947,0.05263157894736842,0.8421052631578947,0.10526315789473684,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525,24.105263157894736,5.473684210526316,0.42105263157894735,0.0,2.526315789473684,0.10526315789473684,0.6947368421052631,0.05263157894736842,0.05263157894736842,11.736842105263158,2.526315789473684,0.05263157894736842,0.05263157894736842,0.015037593984962405,0.008771929824561403,0,치킨,굽네치킨
ba_10020109,2025-08,0.6578947368421052,38,0.9473684210526315,0.0,0.6578947368421053,0.05263157894736842,0.07894736842105263,0.0,0.15789473684210525,0.07894736842105263,25.18421052631579,5.684210526315789,0.3684210526315789,0.02631578947368421,2.736842105263158,0.05263157894736842,0.6578947368421053,0.05263157894736842,0.5789473684210527,114.13157894736842,25.5,0.07894736842105263,0.07894736842105263,0.18045112781954886,0.10526315789473684,0,치킨,굽네치킨
ba_10020109,2025-09,0.6272727272727274,44,0.7954545454545454,0.045454545454545456,0.8409090909090909,0.18181818181818182,0.06818181818181818,0.045454545454545456,0.0,0.13636363636363635,29.568181818181817,6.568181818181818,0.4090909090909091,0.0,2.5,0.3181818181818182,0.6545454545454545,0.20454545454545456,1.0,186.97727272727272,40.75,0.18181818181818182,0.18181818181818182,0.29545454545454547,0.16287878787878787,0,치킨,굽네치킨
ba_10022124,2025-07,0.7857142857142857,14,0.8571428571428571,0.07142857142857142,1.0,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142,44.285714285714285,9.5,0.21428571428571427,0.0,3.7142857142857144,0.2857142857142857,0.8142857142857143,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
