keyword,count
맛,63591
맛있,49990
맛있어,18125
맛있게,16636
맛있어요,15069
잘 먹,12189
좋,11071
잘먹,10091
감사,9079
최고,3464
빠르,3332
맛있네요,2825
좋아요,2570
바삭,2334
굿,1832
친절,1801
따뜻,1786
좋았,1706
깔끔,1670
자주,1424
만족,799
든든,540
추천,534
부드럽,518
빨라,505
푸짐,363
맛집,327
신선,260
재주문,216
양 많,137
