platform_shop_id,year_month,has_reply,reply_length,reply_token_count,reply_contains_coupon,reply_coupon_flag,reply_template_score,reply_ai_like_score,growth_label_top30,category,brand
ba_10015935,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,치킨,굽네치킨
ba_10015935,2025-08,0.42857142857142855,97.28571428571429,23.142857142857142,0.0,0.0,0.061224489795918366,0.07142857142857142,1,치킨,굽네치킨
ba_10015935,2025-09,0.2857142857142857,64.85714285714286,15.428571428571429,0.0,0.0,0.04081632653061224,0.047619047619047616,1,치킨,굽네치킨
ba_10016162,2025-07,0.029411764705882353,6.9411764705882355,1.4705882352941178,0.029411764705882353,0.029411764705882353,0.008403361344537815,0.004901960784313725,1,치킨,굽네치킨
ba_10016162,2025-08,0.4,90.66666666666667,21.4,0.03333333333333333,0.03333333333333333,0.0619047619047619,0.06666666666666667,0,치킨,굽네치킨
ba_10016162,2025-09,0.7096774193548387,161.09677419354838,38.32258064516129,0.0,0.0,0.10138248847926266,0.11827956989247311,0,치킨,굽네치킨
ba_10019194,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10019194,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10019194,2025-09,1.0,227.0,54.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0,치킨,굽네치킨
ba_10019807,2025-07,0.14285714285714285,33.857142857142854,7.5,0.14285714285714285,0.14285714285714285,0.061224489795918366,0.047619047619047616,0,치킨,굽네치킨
ba_10019807,2025-08,0.08333333333333333,23.083333333333332,5.166666666666667,0.08333333333333333,0.08333333333333333,0.03571428571428571,0.027777777777777776,0,치킨,굽네치킨
ba_10019807,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10020109,2025-07,0.05263157894736842,11.736842105263158,2.526315789473684,0.05263157894736842,0.05263157894736842,0.015037593984962405,0.008771929824561403,0,치킨,굽네치킨
ba_10020109,2025-08,0.5789473684210527,114.13157894736842,25.5,0.07894736842105263,0.07894736842105263,0.18045112781954886,0.10526315789473684,0,치킨,굽네치킨
ba_10020109,2025-09,1.0,186.97727272727272,40.75,0.18181818181818182,0.18181818181818182,0.29545454545454547,0.16287878787878787,0,치킨,굽네치킨
ba_10022124,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10022124,2025-08,0.16666666666666666,37.833333333333336,9.0,0.0,0.0,0.023809523809523808,0.027777777777777776,0,치킨,굽네치킨
ba_10022124,2025-09,0.7142857142857143,137.42857142857142,30.428571428571427,0.0,0.0,0.18367346938775508,0.11904761904761904,0,치킨,굽네치킨
ba_10040420,2025-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10040420,2025-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10040420,2025-09,0.125,11.625,2.25,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
ba_10040590,2025-09,0.6,156.0,34.3,0.2,0.2,0.34285714285714286,0.11666666666666665,1,치킨,굽네치킨
ba_10040590,2025-08,1.0,227.0,50.333333333333336,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.1111111111111111,1,치킨,굽네치킨
ba_10040621,2025-08,0.75,170.25,40.5,0.0,0.0,0.10714285714285714,0.125,0,치킨,굽네치킨
ba_10040621,2025-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,치킨,굽네치킨
