category,growth_label_top30,rows,avg_text_sentiment,positive_text_rate,negative_text_rate
백반·죽·국수,0,2634,0.6749863667842396,0.8631127930131727,0.03542405892613766
백반·죽·국수,1,1971,0.6924370824830905,0.8791184372413432,0.026530505171932024
치킨,0,1005,0.6590626687234488,0.8390566478025652,0.04909494725561326
치킨,1,644,0.6592533490016608,0.8437805350576845,0.0444493028045107
피자,0,143,0.6783003318453142,0.8495341049168801,0.06137498864771592
피자,1,81,0.6438799228711509,0.8908639971139971,0.03151938488195798
