platform_shop_id,shop_name,brand,category,current_score,current_rank,top100_scenario_count,top100_scenario_rate
ba_14692118,본죽&비빔밥 여수소호점,본그룹,백반·죽·국수,83.40,56,7,1.0000
ba_14727030,본죽&비빔밥 부산명장역점,본그룹,백반·죽·국수,83.25,57,6,0.8571
ba_14692258,본죽 천안쌍용1동점,본그룹,백반·죽·국수,82.99,58,7,1.0000
ba_14688557,본죽 보정동단국대점,본그룹,백반·죽·국수,82.89,59,7,1.0000
ba_14689904,본죽&비빔밥 안양호계포도원점,본그룹,백반·죽·국수,82.85,60,7,1.0000
ba_14689854,본죽&비빔밥 인천간석홈플러스앞점,본그룹,백반·죽·국수,82.81,61,6,0.8571
ba_14689573,본죽&비빔밥 시흥목감역점,본그룹,백반·죽·국수,82.80,62,6,0.8571
ba_14689645,본죽&비빔밥 병점복합타운점,본그룹,백반·죽·국수,82.75,63,7,1.0000
ba_14689875,본죽 양산물금증산점,본그룹,백반·죽·국수,82.74,64,5,0.7143
ba_14687344,본죽&비빔밥 쌍문점,본그룹,백반·죽·국수,82.55,65,5,0.7143
ba_14459736,굽네치킨,굽네치킨,치킨,82.54,66,6,0.8571
ba_13222170,본죽&비빔밥 전북김제점,본그룹,백반·죽·국수,82.44,67,7,1.0000
ba_14689886,본죽&비빔밥 안양호계사거리점,본그룹,백반·죽·국수,82.22,68,6,0.8571
ba_14688860,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,82.03,69,5,0.7143
ba_14689766,본죽&비빔밥 인천신포동점,본그룹,백반·죽·국수,81.94,70,7,1.0000
ba_14690110,본죽&비빔밥 신봉초교점,본그룹,백반·죽·국수,81.92,71,7,1.0000
ba_14688094,본죽 군포지샘병원점,본그룹,백반·죽·국수,81.80,72,6,0.8571
ba_14694148,본죽 통영점,본그룹,백반·죽·국수,81.70,73,7,1.0000
ba_14689481,본죽&비빔밥 파주운정해오름점,본그룹,백반·죽·국수,81.39,74,6,0.8571
ba_14691958,본죽&비빔밥 부산내성교차로점,본그룹,백반·죽·국수,81.06,75,6,0.8571
ba_14691112,본죽 대구방촌점,본그룹,백반·죽·국수,81.01,76,7,1.0000
ba_14692165,본죽 세종아름점,본그룹,백반·죽·국수,81.01,77,6,0.8571
ba_14692275,본죽&비빔밥 전주객사점,본그룹,백반·죽·국수,80.89,78,5,0.7143
ba_14690002,본죽 송도센트럴파크점,본그룹,백반·죽·국수,80.80,79,6,0.8571
ba_13233115,본죽&비빔밥 대구복현동점,본그룹,백반·죽·국수,80.64,80,5,0.7143
ba_14690034,본죽&비빔밥 인천검암점,본그룹,백반·죽·국수,80.40,81,5,0.7143
ba_14689611,본죽&비빔밥 시흥장곡점,본그룹,백반·죽·국수,80.26,82,5,0.7143
ba_14691077,본죽&비빔밥 대구파티마병원점,본그룹,백반·죽·국수,80.21,83,5,0.7143
ba_14689115,본죽&비빔밥 양주덕정점,본그룹,백반·죽·국수,80.12,84,5,0.7143
ba_14273972,본죽&비빔밥 단양점,본그룹,백반·죽·국수,79.98,85,6,0.8571
ba_14691106,본죽&비빔밥 대구동구청점,본그룹,백반·죽·국수,79.95,86,5,0.7143
ba_14690723,본죽&비빔밥 광주첨단월계점,본그룹,백반·죽·국수,79.83,87,6,0.8571
ba_14688114,본죽&비빔밥 신촌점,본그룹,백반·죽·국수,79.81,88,3,0.4286
ba_14448826,본죽&비빔밥 인천검단신도시점,본그룹,백반·죽·국수,79.80,89,5,0.7143
ba_14647668,본죽&비빔밥 인천간석홈플러스앞점,본그룹,백반·죽·국수,79.35,90,5,0.7143
ba_14691857,본죽&비빔밥 부산명지국제중앙점,본그룹,백반·죽·국수,79.35,91,5,0.7143
ba_14689890,본죽&비빔밥 구월아시아드점,본그룹,백반·죽·국수,79.26,92,6,0.8571
ba_14732026,굽네치킨 부산전포점,굽네치킨,치킨,79.25,93,4,0.5714
ba_13199394,본죽&비빔밥 울산야음점,본그룹,백반·죽·국수,79.23,94,5,0.7143
ba_14691965,본죽&비빔밥 나주혁신호수공원점,본그룹,백반·죽·국수,79.23,95,6,0.8571
ba_14691209,본죽&비빔밥 대구두산점,본그룹,백반·죽·국수,79.20,96,4,0.5714
ba_14689734,본죽&비빔밥 송도신도시점,본그룹,백반·죽·국수,79.12,97,5,0.7143
ba_14687166,본죽&비빔밥 등촌공항대로점,본그룹,백반·죽·국수,78.99,98,3,0.4286
ba_14689614,본죽&비빔밥 시흥시화점,본그룹,백반·죽·국수,78.84,99,4,0.5714
ba_14739745,굽네치킨 감정점,굽네치킨,치킨,78.77,100,3,0.4286
ba_14690992,본죽&비빔밥 대전신탄점,본그룹,백반·죽·국수,78.68,101,3,0.4286
ba_13223520,본죽 신림고시촌점,본그룹,백반·죽·국수,78.59,102,2,0.2857
ba_14714062,본죽&비빔밥 파주운정산내마을점,본그룹,백반·죽·국수,78.53,103,3,0.4286
ba_14692326,본죽&비빔밥 제천청전점,본그룹,백반·죽·국수,78.48,104,2,0.2857
ba_14692505,본죽&비빔밥 울산남목점,본그룹,백반·죽·국수,78.47,105,3,0.4286
ba_14753110,본죽&비빔밥 청주성화점,본그룹,백반·죽·국수,78.47,106,3,0.4286
ba_14691361,본죽&비빔밥 경산옥곡점,본그룹,백반·죽·국수,78.45,107,1,0.1429
ba_14691245,본죽&비빔밥 대구동성로점,본그룹,백반·죽·국수,78.37,108,1,0.1429
ba_14691277,본죽&비빔밥 대구달서구청점,본그룹,백반·죽·국수,78.28,109,3,0.4286
ba_14691130,본죽 부산진역점,본그룹,백반·죽·국수,78.25,110,2,0.2857
ba_14692482,본죽&비빔밥 충주호암점,본그룹,백반·죽·국수,78.24,111,1,0.1429
ba_14689750,본죽&비빔밥 안산본오점,본그룹,백반·죽·국수,78.20,112,1,0.1429
ba_14744959,굽네치킨 부산수정점,굽네치킨,치킨,78.18,113,1,0.1429
ba_13918069,본죽&비빔밥 평택지제점,본그룹,백반·죽·국수,78.16,114,3,0.4286
ba_14688687,본죽&비빔밥 신길점,본그룹,백반·죽·국수,78.11,115,2,0.2857
ba_14690674,본죽&비빔밥 광주신가점,본그룹,백반·죽·국수,77.99,116,1,0.1429
ba_14688522,본죽 시흥은행점,본그룹,백반·죽·국수,77.96,117,1,0.1429
ba_13233576,본죽&비빔밥 당진점,본그룹,백반·죽·국수,77.89,118,1,0.1429
ba_14625762,본죽&비빔밥 익산부송우남점,본그룹,백반·죽·국수,77.81,119,1,0.1429
ba_14691801,본죽 부산구남점,본그룹,백반·죽·국수,77.63,120,2,0.2857
ba_14739746,굽네피자 감정점,굽네치킨,피자,77.51,121,2,0.2857
ba_14694620,본죽&비빔밥 경산신대부적점,본그룹,백반·죽·국수,77.50,122,0,0.0000
ba_14692022,본죽&비빔밥 여수죽림점,본그룹,백반·죽·국수,77.32,123,0,0.0000
ba_13223329,본죽&비빔밥 양주덕정점,본그룹,백반·죽·국수,77.05,124,3,0.4286
ba_14627570,본죽&비빔밥 김해안동푸르지오점,본그룹,백반·죽·국수,76.98,125,2,0.2857
ba_14691943,본죽&비빔밥 순천연향점,본그룹,백반·죽·국수,76.94,126,0,0.0000
ba_13260584,본죽&비빔밥 광주신창점,본그룹,백반·죽·국수,76.92,127,3,0.4286
ba_14703930,본죽 중화역점,본그룹,백반·죽·국수,76.91,128,0,0.0000
ba_10841883,굽네치킨 선부3동점,굽네치킨,치킨,76.90,129,1,0.1429
ba_14688746,본죽&비빔밥 광명소하지구점,본그룹,백반·죽·국수,76.87,130,1,0.1429
ba_14691975,본죽&비빔밥 백양산롯데캐슬점,본그룹,백반·죽·국수,76.84,131,0,0.0000
ba_14687318,본죽&비빔밥 독산정훈단지점,본그룹,백반·죽·국수,76.82,132,0,0.0000
ba_14688729,본죽&비빔밥 과천점,본그룹,백반·죽·국수,76.81,133,1,0.1429
ba_14691901,본죽&비빔밥 약사점,본그룹,백반·죽·국수,76.70,134,0,0.0000
ba_14688848,본죽&비빔밥 연신갈현점,본그룹,백반·죽·국수,76.61,135,1,0.1429
ba_14690081,본죽 신곡시장점,본그룹,백반·죽·국수,76.47,136,0,0.0000
ba_14727064,본죽&비빔밥 전주혁신도시점,본그룹,백반·죽·국수,76.40,137,0,0.0000
ba_14691116,본죽&비빔밥 대구칠곡관음점,본그룹,백반·죽·국수,76.31,138,0,0.0000
ba_13234034,본죽 포항오천점,본그룹,백반·죽·국수,76.24,139,1,0.1429
ba_14690718,본죽&비빔밥 광주노대점,본그룹,백반·죽·국수,76.24,140,1,0.1429
ba_14688555,본죽 수원인계점,본그룹,백반·죽·국수,76.17,141,0,0.0000
ba_14692194,본죽&비빔밥 익산영등제일점,본그룹,백반·죽·국수,75.93,142,0,0.0000
ba_14688197,본죽 인왕산점,본그룹,백반·죽·국수,75.84,143,0,0.0000
ba_14689415,본죽&비빔밥 수원탑동점,본그룹,백반·죽·국수,75.78,144,0,0.0000
ba_14457403,본죽&비빔밥 부산연제점,본그룹,백반·죽·국수,75.70,145,1,0.1429
ba_14687119,본죽 성균관대점,본그룹,백반·죽·국수,75.66,146,0,0.0000
ba_14690665,본죽&비빔밥 장유신문점,본그룹,백반·죽·국수,75.65,147,0,0.0000
ba_14688931,본죽&비빔밥 고양덕은점,본그룹,백반·죽·국수,75.47,148,1,0.1429
ba_14691179,본죽&비빔밥 내당삼익뉴타운점,본그룹,백반·죽·국수,75.46,149,0,0.0000
ba_14691976,본죽&비빔밥 부산전포점,본그룹,백반·죽·국수,75.44,150,0,0.0000
