scenario,scenario_label,platform_shop_id,shop_name,brand,category,sido,sigungu,score,grade
official_current,현재 공식 가중치,ba_14689809,본죽&비빔밥 안성당왕점,본그룹,백반·죽·국수,경기도,안성시,84.1740,A
official_current,현재 공식 가중치,ba_14690057,본죽앤비빔밥 인천검단점,본그룹,백반·죽·국수,인천광역시,서구,84.0986,A
official_current,현재 공식 가중치,ba_14742705,본죽&비빔밥 청주개신점,본그룹,백반·죽·국수,충청북도,청주시,84.0877,A
official_current,현재 공식 가중치,ba_14691909,본죽&비빔밥 부산정관모전점,본그룹,백반·죽·국수,부산광역시,기장군,84.0798,A
official_current,현재 공식 가중치,ba_13235557,본죽 도봉동점,본그룹,백반·죽·국수,서울특별시,도봉구,84.0027,A
official_current,현재 공식 가중치,ba_14690587,본죽&비빔밥 포항법원점,본그룹,백반·죽·국수,경상북도,포항시,83.9628,A
official_current,현재 공식 가중치,ba_14689382,본죽&비빔밥 수원권선시장점,본그룹,백반·죽·국수,경기도,수원시,83.7215,A
official_current,현재 공식 가중치,ba_14757711,굽네치킨&피자 칠금문화점,굽네치킨,치킨,충청북도,충주시,83.4136,A
official_current,현재 공식 가중치,ba_14692118,본죽&비빔밥 여수소호점,본그룹,백반·죽·국수,전라남도,여수시,83.3967,A
official_current,현재 공식 가중치,ba_14727030,본죽&비빔밥 부산명장역점,본그룹,백반·죽·국수,부산광역시,동래구,83.2478,A
official_current,현재 공식 가중치,ba_14692258,본죽 천안쌍용1동점,본그룹,백반·죽·국수,충청남도,천안시,82.9904,A
official_current,현재 공식 가중치,ba_14688557,본죽 보정동단국대점,본그룹,백반·죽·국수,경기도,용인시,82.8949,A
official_current,현재 공식 가중치,ba_14689904,본죽&비빔밥 안양호계포도원점,본그룹,백반·죽·국수,경기도,안양시,82.8475,A
official_current,현재 공식 가중치,ba_14689854,본죽&비빔밥 인천간석홈플러스앞점,본그룹,백반·죽·국수,인천광역시,남동구,82.8063,A
official_current,현재 공식 가중치,ba_14689573,본죽&비빔밥 시흥목감역점,본그룹,백반·죽·국수,경기도,시흥시,82.8029,A
official_current,현재 공식 가중치,ba_14689645,본죽&비빔밥 병점복합타운점,본그룹,백반·죽·국수,경기도,화성시,82.7475,A
official_current,현재 공식 가중치,ba_14689875,본죽 양산물금증산점,본그룹,백반·죽·국수,경상남도,양산시,82.7440,A
official_current,현재 공식 가중치,ba_14687344,본죽&비빔밥 쌍문점,본그룹,백반·죽·국수,서울특별시,도봉구,82.5462,A
official_current,현재 공식 가중치,ba_14459736,굽네치킨,굽네치킨,치킨,경기도,남양주시,82.5369,A
official_current,현재 공식 가중치,ba_13222170,본죽&비빔밥 전북김제점,본그룹,백반·죽·국수,전북특별자치도,김제시,82.4449,A
official_current,현재 공식 가중치,ba_14689886,본죽&비빔밥 안양호계사거리점,본그룹,백반·죽·국수,경기도,안양시,82.2153,A
official_current,현재 공식 가중치,ba_14688860,본죽&비빔밥 수색DMC점,본그룹,백반·죽·국수,서울특별시,은평구,82.0256,A
official_current,현재 공식 가중치,ba_14689766,본죽&비빔밥 인천신포동점,본그룹,백반·죽·국수,인천광역시,중구,81.9435,A
official_current,현재 공식 가중치,ba_14690110,본죽&비빔밥 신봉초교점,본그룹,백반·죽·국수,경기도,용인시,81.9210,A
official_current,현재 공식 가중치,ba_14688094,본죽 군포지샘병원점,본그룹,백반·죽·국수,경기도,군포시,81.8033,A
official_current,현재 공식 가중치,ba_14694148,본죽 통영점,본그룹,백반·죽·국수,경상남도,통영시,81.6978,A
official_current,현재 공식 가중치,ba_14689481,본죽&비빔밥 파주운정해오름점,본그룹,백반·죽·국수,경기도,파주시,81.3864,A
official_current,현재 공식 가중치,ba_14691958,본죽&비빔밥 부산내성교차로점,본그룹,백반·죽·국수,부산광역시,동래구,81.0614,A
official_current,현재 공식 가중치,ba_14691112,본죽 대구방촌점,본그룹,백반·죽·국수,대구광역시,동구,81.0059,A
official_current,현재 공식 가중치,ba_14692165,본죽 세종아름점,본그룹,백반·죽·국수,세종특별자치시,보듬3로,81.0131,A
official_current,현재 공식 가중치,ba_14692275,본죽&비빔밥 전주객사점,본그룹,백반·죽·국수,전북특별자치도,전주시,80.8931,A
official_current,현재 공식 가중치,ba_14690002,본죽 송도센트럴파크점,본그룹,백반·죽·국수,인천광역시,연수구,80.7990,A
official_current,현재 공식 가중치,ba_13233115,본죽&비빔밥 대구복현동점,본그룹,백반·죽·국수,대구광역시,북구,80.6379,A
official_current,현재 공식 가중치,ba_14690034,본죽&비빔밥 인천검암점,본그룹,백반·죽·국수,인천광역시,서구,80.3961,A
official_current,현재 공식 가중치,ba_14689611,본죽&비빔밥 시흥장곡점,본그룹,백반·죽·국수,경기도,시흥시,80.2627,A
