brand,rows,stores,growth_label_1,growth_label_0,growth_rate,avg_growth_alpha,avg_order_count,avg_review_count
본그룹,7236,804,2460,4776,0.339967,0.0,67.909204,8.109315
굽네치킨,3978,442,905,3073,0.227501,-0.0,154.099548,15.230266
